,0,1,2,3,4,5,6,7,8,9,10,11
0,125.0,0.495,0.6970000000000001,0.313,27.0,40.0,118.0,0.557,0.8,0.4,26.0,41.0
1,105.0,0.447,0.733,0.33299999999999996,21.0,49.0,107.0,0.467,0.917,0.353,17.0,42.0
2,109.0,0.42,0.879,0.255,20.0,50.0,112.0,0.45,0.7140000000000001,0.35,18.0,42.0
3,104.0,0.41700000000000004,0.897,0.235,18.0,50.0,93.0,0.369,0.769,0.36700000000000005,19.0,40.0
4,99.0,0.465,0.833,0.321,24.0,47.0,90.0,0.434,0.607,0.26899999999999996,19.0,33.0
5,103.0,0.44,0.75,0.275,22.0,39.0,113.0,0.5,0.769,0.47200000000000003,22.0,42.0
6,109.0,0.43799999999999994,0.606,0.161,19.0,64.0,107.0,0.364,0.789,0.4,22.0,51.0
7,109.0,0.505,0.5,0.306,22.0,48.0,123.0,0.473,0.9470000000000001,0.475,29.0,39.0
8,128.0,0.489,0.7390000000000001,0.475,35.0,41.0,142.0,0.581,0.769,0.5,34.0,52.0
9,123.0,0.51,1.0,0.371,36.0,48.0,103.0,0.40700000000000003,0.76,0.32299999999999995,27.0,49.0
10,96.0,0.43,0.789,0.48100000000000004,16.0,41.0,124.0,0.544,0.731,0.33299999999999996,32.0,56.0
11,121.0,0.47700000000000004,0.84,0.462,28.0,50.0,117.0,0.408,0.846,0.429,22.0,47.0
12,112.0,0.42200000000000004,0.75,0.324,14.0,41.0,120.0,0.56,0.65,0.382,32.0,39.0
13,112.0,0.425,0.8,0.233,17.0,44.0,121.0,0.484,0.85,0.42100000000000004,32.0,38.0
14,123.0,0.5660000000000001,0.765,0.5329999999999999,35.0,37.0,118.0,0.396,0.8440000000000001,0.33299999999999996,20.0,49.0
15,116.0,0.449,0.9329999999999999,0.37799999999999995,20.0,36.0,132.0,0.529,0.846,0.419,24.0,51.0
16,100.0,0.446,0.733,0.441,19.0,46.0,100.0,0.444,0.542,0.318,18.0,56.0
17,100.0,0.435,0.85,0.14300000000000002,17.0,49.0,144.0,0.552,0.8,0.457,35.0,54.0
18,101.0,0.435,0.789,0.24,25.0,39.0,121.0,0.51,0.737,0.292,30.0,46.0
19,110.0,0.469,0.6,0.314,30.0,42.0,113.0,0.494,0.889,0.385,26.0,46.0
20,125.0,0.505,0.778,0.405,34.0,47.0,110.0,0.39399999999999996,0.917,0.311,25.0,42.0
21,92.0,0.40700000000000003,0.733,0.268,19.0,46.0,115.0,0.484,0.81,0.32299999999999995,22.0,53.0
22,118.0,0.511,0.8,0.43200000000000005,29.0,50.0,124.0,0.484,0.778,0.429,27.0,44.0
23,110.0,0.494,0.765,0.342,19.0,44.0,115.0,0.517,0.737,0.273,28.0,37.0
24,120.0,0.461,0.838,0.28,23.0,47.0,109.0,0.382,0.75,0.265,28.0,51.0
25,103.0,0.44299999999999995,0.875,0.154,23.0,41.0,140.0,0.5529999999999999,0.955,0.455,32.0,47.0
26,125.0,0.483,0.8,0.436,29.0,46.0,107.0,0.44,0.629,0.33299999999999996,23.0,49.0
27,116.0,0.436,0.833,0.389,19.0,49.0,122.0,0.535,0.727,0.37799999999999995,30.0,41.0
28,105.0,0.47100000000000003,0.6,0.41200000000000003,26.0,52.0,105.0,0.46399999999999997,0.81,0.278,24.0,44.0
29,122.0,0.473,0.9470000000000001,0.47100000000000003,35.0,46.0,97.0,0.39799999999999996,0.75,0.33299999999999996,21.0,44.0
30,91.0,0.41,0.7390000000000001,0.162,21.0,41.0,108.0,0.41700000000000004,0.75,0.449,25.0,38.0
31,91.0,0.34700000000000003,0.706,0.268,24.0,52.0,122.0,0.535,0.708,0.371,29.0,48.0
32,108.0,0.41100000000000003,0.735,0.135,22.0,51.0,114.0,0.433,0.905,0.405,27.0,42.0
33,122.0,0.465,0.679,0.40700000000000003,21.0,51.0,122.0,0.47700000000000004,0.8059999999999999,0.379,25.0,45.0
34,93.0,0.429,0.938,0.316,13.0,45.0,115.0,0.484,0.9329999999999999,0.314,29.0,35.0
35,117.0,0.5429999999999999,0.778,0.455,23.0,33.0,104.0,0.488,0.7859999999999999,0.281,29.0,49.0
36,106.0,0.385,0.815,0.23800000000000002,21.0,56.0,109.0,0.43,0.762,0.33299999999999996,23.0,53.0
37,128.0,0.608,0.741,0.429,33.0,43.0,114.0,0.542,0.7,0.47200000000000003,31.0,51.0
38,133.0,0.455,0.8,0.488,34.0,40.0,124.0,0.5710000000000001,0.591,0.35,28.0,41.0
39,102.0,0.40700000000000003,1.0,0.4,23.0,48.0,90.0,0.39299999999999996,0.789,0.273,24.0,35.0
40,103.0,0.425,0.594,0.39,20.0,43.0,94.0,0.35600000000000004,0.7140000000000001,0.293,14.0,46.0
41,98.0,0.418,0.8420000000000001,0.28600000000000003,22.0,47.0,118.0,0.466,0.885,0.406,22.0,42.0
42,142.0,0.574,0.742,0.36700000000000005,34.0,51.0,106.0,0.506,1.0,0.371,26.0,47.0
43,116.0,0.446,0.8420000000000001,0.345,29.0,42.0,102.0,0.45,0.815,0.33299999999999996,27.0,55.0
44,100.0,0.467,0.769,0.435,21.0,46.0,114.0,0.479,0.909,0.33299999999999996,30.0,53.0
45,94.0,0.462,0.75,0.28,20.0,30.0,93.0,0.38299999999999995,0.667,0.306,24.0,51.0
46,106.0,0.46399999999999997,0.679,0.391,22.0,45.0,98.0,0.41200000000000003,0.762,0.3,15.0,53.0
47,116.0,0.5,0.833,0.33299999999999996,30.0,48.0,110.0,0.43799999999999994,0.643,0.415,33.0,35.0
48,125.0,0.49,0.8,0.33299999999999996,23.0,48.0,102.0,0.444,0.556,0.33299999999999996,24.0,32.0
49,122.0,0.506,0.667,0.429,33.0,41.0,113.0,0.5329999999999999,0.75,0.467,28.0,44.0
50,122.0,0.495,0.85,0.275,33.0,40.0,107.0,0.414,0.737,0.25,18.0,44.0
51,112.0,0.462,0.85,0.282,30.0,49.0,115.0,0.5,1.0,0.344,25.0,49.0
52,103.0,0.446,0.938,0.341,28.0,45.0,114.0,0.426,0.741,0.242,16.0,63.0
53,99.0,0.391,0.9129999999999999,0.345,19.0,41.0,116.0,0.426,0.815,0.258,21.0,46.0
54,120.0,0.512,0.7859999999999999,0.303,22.0,51.0,102.0,0.415,0.7,0.33299999999999996,18.0,52.0
55,129.0,0.593,0.773,0.5329999999999999,25.0,43.0,94.0,0.43700000000000006,0.7140000000000001,0.308,23.0,35.0
56,133.0,0.573,0.938,0.485,32.0,44.0,122.0,0.512,0.789,0.48700000000000004,28.0,40.0
57,107.0,0.406,0.7859999999999999,0.409,21.0,45.0,96.0,0.40700000000000003,0.8420000000000001,0.27,21.0,35.0
58,119.0,0.45899999999999996,0.7140000000000001,0.292,30.0,44.0,117.0,0.494,0.846,0.39399999999999996,26.0,38.0
59,116.0,0.519,0.9,0.43200000000000005,26.0,36.0,105.0,0.44,0.706,0.406,17.0,39.0
60,125.0,0.479,0.885,0.33299999999999996,23.0,55.0,124.0,0.51,0.818,0.5,28.0,42.0
61,115.0,0.47200000000000003,0.76,0.364,32.0,51.0,146.0,0.596,0.81,0.586,27.0,46.0
62,102.0,0.355,0.767,0.33299999999999996,21.0,50.0,121.0,0.523,0.647,0.486,31.0,32.0
63,104.0,0.42,0.9470000000000001,0.316,23.0,35.0,110.0,0.44299999999999995,0.667,0.435,29.0,50.0
64,116.0,0.451,0.875,0.295,14.0,48.0,140.0,0.511,0.8,0.45,30.0,47.0
65,101.0,0.41600000000000004,0.789,0.429,31.0,53.0,129.0,0.494,0.9640000000000001,0.474,30.0,44.0
66,110.0,0.442,0.722,0.35100000000000003,22.0,46.0,119.0,0.457,0.9129999999999999,0.341,21.0,33.0
67,96.0,0.456,0.591,0.40700000000000003,22.0,37.0,128.0,0.485,0.75,0.35600000000000004,30.0,57.0
68,124.0,0.542,0.8,0.368,29.0,34.0,130.0,0.573,0.909,0.457,30.0,35.0
69,99.0,0.38299999999999995,0.708,0.313,18.0,46.0,100.0,0.43,0.875,0.34299999999999997,24.0,43.0
70,111.0,0.5,0.75,0.40700000000000003,32.0,47.0,118.0,0.488,0.871,0.3,22.0,44.0
71,108.0,0.512,0.7140000000000001,0.375,27.0,43.0,125.0,0.621,0.818,0.516,27.0,35.0
72,115.0,0.495,0.593,0.3,33.0,49.0,124.0,0.5379999999999999,0.818,0.385,33.0,42.0
73,125.0,0.5,0.7829999999999999,0.317,26.0,34.0,96.0,0.396,0.682,0.25,20.0,45.0
74,119.0,0.466,0.92,0.33299999999999996,26.0,41.0,110.0,0.534,0.84,0.44,23.0,32.0
75,126.0,0.529,0.833,0.444,30.0,51.0,98.0,0.391,0.655,0.297,23.0,38.0
76,123.0,0.488,0.78,0.433,24.0,41.0,106.0,0.467,1.0,0.406,25.0,45.0
77,126.0,0.511,0.833,0.405,27.0,34.0,133.0,0.445,0.867,0.281,26.0,60.0
78,97.0,0.384,0.645,0.355,18.0,38.0,132.0,0.48100000000000004,0.833,0.24100000000000002,33.0,49.0
79,109.0,0.447,0.731,0.326,24.0,56.0,112.0,0.469,0.455,0.324,26.0,51.0
